400 600 500
1223 1399 716 2832
570 720 2832 2644
694 721 2644 4998
779 724 4998 3535
74 704 3535 3223
770 660 3223 4494
26 925 4494 5327
630 940 5327 1594
1402 436 1594 10
244 719 10 4642
1211 680 4642 5005
346 803 5005 3872
1326 345 3872 232
628 1261 232 4272
98 668 4272 4487
889 459 4487 3669
214 667 3669 4224
209 1092 4224 359
1348 151 359 45
10 124 45 67
1259 1198 67 758
1323 733 758 1958
234 1149 1958 146
1178 25 146 38
1354 1177 38 2746
1376 988 1463 3060
1203 642 3526 3835
329 1361 5666 334
1100 815 5084 914
934 689 5035 3290
1153 499 3223 5448
1251 902 1549 5155
21 399 5276 1900
1152 435 5398 1985
763 960 1036 710
1356 654 1924 1650
331 595 4091 5040
1059 699 602 5155
422 510 130 2621
415 151 2739 4494
51 1079 56 172
188 632 1815 1981
539 449 3269 4487
900 674 3692 2137
1240 830 4490 4100
739 837 499 56
218 158 5432 5152
1154 685 3863 1743
1320 933 730 3638
742 236 1318 577
975 644 1399 400
339 126 1783 2707
1289 211 2491 2233
727 1007 4091 1088
1286 1051 1774 3863
2 786 1139 2327
1002 722 1265 577
1041 284 3463 3206
450 1026 1974 685
71 729 767 3526
1096 685 2130 1924
1414 69 3986 970
1091 165 2388 5005
1334 1263 2444 146
286 207 227 2516
406 198 5216 58
1228 942 3307 4665
457 977 5594 3290
210 402 5220 4817
1165 837 2847 2809
474 1049 5398 1549
1067 461 2847 5307
254 1004 3437 209
12 361 359 2233
987 737 2862 2130
99 714 1543 1820
838 811 3129 3862
544 1467 4771 3986
498 781 1985 4668
325 1000 4091 1801
1023 1176 5008 1815
303 821 4140 120
201 992 5066 5005
438 1441 2137 5095
173 796 685 5525
693 722 4043 3431
431 583 5152 5024
261 682 2740 1265
1226 635 4339 89
638 1438 1774 1088
266 643 4272 5095
822 1372 3129 4100
840 710 4719 4822
1412 1169 4381 4131
735 858 65 3985
535 207 2163 1556
1220 750 4199 970
1008 257 3268 5216
358 1295 217 146
792 522 2739 2516
724 589 4981 5448
243 721 1307 113
673 379 5333 5434
700 739 1541 5554
80 967 5505 4605
1370 405 5216 3269
91 1239 1820 3986
1275 943 5095 965
1146 913 4450 716
73 539 1036 4331
1261 790 2464 38
1414 175 571 3230
707 1269 1563 5247
782 296 710 602
508 1062 4100 1776
188 905 602 5196
259 643 5008 3669
1151 399 4043 2809
118 594 3027 2516
1266 171 1873 3430
785 602 4312 5594
255 281 1791 724
497 519 1743 276
656 672 56 4352
832 38 2642 571
64 332 4333 2862
327 747 3073 301
1274 1075 4490 2215
1289 147 1115 2339
219 928 4998 2327
679 803 3375 1564
131 488 1 3033
256 703 1316 841
417 904 1541 5066
928 395 5672 3863
687 275 1156 4822
936 642 5672 3027
69 736 4043 4211
931 168 2516 130
92 954 2332 5276
504 653 4004 5443
421 413 328 3210
1257 841 1307 2388
969 764 2516 1436
81 224 2165 4004
671 450 10 2163
1231 723 5099 2516
580 587 4219 3767
1309 459 5162 5123
528 762 2163 3633
943 961 1156 3638
332 740 2739 1924
261 1097 211 1584
1355 681 4580 172
1391 887 4858 5008
817 538 2339 45
1264 1068 3033 4998
52 1184 2233 1036
1207 717 1646 579
260 606 1313 5216
180 778 2099 5084
208 784 1718 2164
475 938 4131 1564
980 1182 3027 2165
830 1022 1571 861
696 633 4131 4998
1266 613 1004 5155
596 101 5594 4808
67 206 4771 1805
612 754 2883 4043
753 1081 1571 1285
1124 772 5216 2888
448 964 3614 5066
112 1076 2170 1313
829 1091 1332 517
1367 805 2951 1285
703 1123 900 3456
196 149 2328 3033
171 1016 1170 5162
752 836 5066 1285
645 127 4140 3485
1049 609 659 4352
472 471 172 5195
743 1128 4218 4046
338 812 4037 4875
519 1388 741 3694
537 278 5220 4352
342 490 146 4918
1044 261 5026 65
1097 444 3230 4914
633 223 2339 3229
1146 365 710 1265
91 1263 3536 4272
439 453 5491 1309
548 713 2233 662
1118 387 190 2427
1151 555 2503 2951
599 1129 5066 1564
1372 771 5040 571
656 657 3694 4875
503 466 2444 176
1412 741 1170 1810
313 842 4199 1650
536 975 3273 5099
497 399 1976 1
1153 854 5084 3375
608 861 1650 4140
1260 361 211 5005
171 787 4817 1964
520 641 3347 4817
50 1326 2339 3818
592 797 3502 3553
571 837 130 301
76 576 2251 517
1417 215 5173 2251
486 332 5084 2165
809 399 5220 56
1355 1129 2951 3986
900 488 2836 1964
614 918 2621 2773
1340 270 4935 4914
958 137 326 4289
358 715 2163 681
1200 1182 1541 401
915 56 113 1646
179 5247 146
1295 3257 4646
965 1237 2012
1229 3033 2047
579 5195 2215
983 109 5180
64 914 4450
547 326 1283
1305 4219 5525
1435 4224 841
1433 1316 5460
758 2099 4861
146 4605 3063
600 4819 2215
981 1332 1286
241 4981 3986
1181 45 1976
1387 3535 56
118 3347 4164
74 1463 730
1233 4580 5398
1072 3020 2046
528 5123 3818
830 577 2083
1308 4381 5331
1138 739 2233
92 5448 109
567 767 3584
1354 2137 1646
773 2028 1112
1181 5327 1170
1060 4067 2328
393 1313 730
18 4100 4352
1036 3206 378
1273 176 3789
16 1316 3818
339 1975 1805
1220 1313 1981
1085 1112 1954
1369 4861 2739
625 4858 1801
797 168 1071
589 4047 3553
603 120 1122
380 1964 3862
1345 5195 4199
488 2491 5066
251 3129 989
1010 5584 2328
1143 1775 741
443 4822 4665
1294 3485 4580
33 2707 3259
113 1113 2327
1403 1290 168
593 1036 2282
784 2512 2809
719 3375 1954
695 1523 3485
1102 209 659
369 3592 4443
740 2790 2888
1424 1571 3273
617 1815 4131
921 5672 5505
731 3081 4443
1118 3862 3081
1237 870 721
613 1112 328
331 2746 4211
319 5327 14
1075 1309 1085
388 5123 4343
415 721 861
193 5084 2083
101 4487 3584
1357 5169 1170
257 2286 410
1116 577 3614
626 5554 1774
57 3040 2099
781 3685 2339
156 3090 2192
840 724 1290
1378 328 710
292 3633 2332
1184 5195 303
262 2339 517
1126 38 1610
151 2012 209
1318 5434 3338
420 1805 3129
1078 4140 3508
396 4352 14
303 1975 1036
153 2900 989
804 5220 2099
238 1307 3536
1262 4422 3223
40 730 1743
967 3714 4395
171 4219 67
1351 3085 2862
702 1981 2286
1392 1332 3090
734 3338 3553
13 1974 5196
842 3020 1594
214 622 2512
941 5331 602
514 3430 2164
302 5584 2600
1341 3985 3090
524 5180 2012
387 685 1650
357 2083 5554
1110 1954 2251
565 4914 4861
553 5396 408
760 1382 3872
1210 2491 2143
213 65 4381
1196 4370 4980
535 4067 4858
66 724 3268
221 2740 249
896 232 4490
15 5429 4218
698 1594 1954
1325 4918 303
242 4098 1924
1423 3535 1122
464 2165 5247
284 3020 2282
17 4443 4450
1055 401 724
1252 5276 38
365 4164 2642
804 681 1108
1087 1 168
843 5429 4352
332 1170 5173
1166 4131 67
496 5173 5152
28 5398 4875
279 5584 3092
1350 52 2503
31 3526 1985
1335 3863 120
1239 758 2644
632 622 3685
723 1743 499
31 4819 1316
1191 3789 1954
291 3592 2099
277 5220 1528
1243 3692 190
1205 1924 2600
1361 3508 681
1099 3716 38
47 45 622
1327 5295 3584
347 2047 3692
707 1783 1180
866 4875 1974
841 579 2782
248 3985 3526
211 1774 2130
1094 4043 2251
565 2503 5460
1280 5195 3614
1202 4771 1050
407 3614 172
190 1650 2740
918 1307 3862
1180 3485 5008
1127 5429 3206
543 3553 1156
1026 1775 5026
904 5361 359
1288 970 209
1371 1791 5173
564 232 5361
1266 2836 2621
604 2620 4490
1365 4067 5491
947 5180 1718
464 2444 4370
1123 1088 2130
1276 4719 1050
454 3259 3129
17 2143 659
1292 3063 5331
51 4700 3818
1320 1820 2951
333 2809 1810
429 113 2642
543 3633 4331
758 1265 989
601 1313 3584
765 67 812
835 3295 739
700 4580 2444
385 5216 14
208 2809 2339
958 56 3073
679 3563 622
500 2739 4798
962 2512 5123
85 4131 739
83 232 4822
806 3481 4771
617 2739 4914
81 5169 5448
463 2444 4725
673 2028 845
508 5195 2900
1043 4556 2427
1047 3375 841
202 1900 579
1352 4004 1382
377 3669 4487
301 1810 5173
977 1820 1004
632 2327 1718
714 4556 5247
1428 685 4981
324 3437 1924
441 359 4224
1352 3614 1528
396 4037 724
1346 5617 4164
589 4331 4642
266 1556 5584
889 209 3430
844 1717 1112
1343 758 4817
59 5216 3081
244 2739 2164
107 2339 2467
791 2621 5672
1066 3761 4771
171 1285 4450
1347 2251 633
484 5162 4861
669 4487 767
1264 4370 3033
1080 3307 4381
1162 5162 2467
1117 2163 3638
1018 5434 5035
650 2888 211
262 1810 4343
411 172 3553
378 965 4100
539 2785 4199
296 5396 3081
1077 378 2983
1384 5035 1108
472 3430 2642
1007 3835 2047
121 3081 3071
857 5005 2832
795 3431 2282
203 1981 989
1153 4494 38
169 3563 2233
164 3063 4450
940 2968 4665
1429 3651 3129
44 2782 1981
710 2782 2012
47 1718 1283
848 5152 2503
270 4443 1584
1421 1594 3229
779 4098 1332
791 2388 4098
1098 956 3463
1294 5046 2512
1185 2099 5525
93 5525 5195
1419 3060 499
1105 1332 685
1003 3885 1
1363 1900 1004
1283 3085 1564
931 5584 1285
1258 190 5276
894 2083 4091
57 1820 2170
1322 4560 2047
363 4487 4918
916 3060 2328
897 5295 2332
381 4822 1976
265 2491 1047
846 4443 5244
593 109 1543
318 767 2773
137 3485 5162
1152 359 401
8 4004 3375
944 38 3206
234 3716 1776
1155 841 4154
681 3456 1718
1159 176 4312
244 301 2635
474 45 3633
135 1975 5594
542 1399 3818
90 2163 685
200 4218 3563
536 1549 328
406 4668 3846
1429 1820 4098
440 5196 3694
994 1528 2444
158 2012 276
138 4422 3502
992 4450 4199
1033 211 1463
626 5491 400
685 276 5361
797 1285 38
957 3535 4487
248 3638 1805
827 3563 1541
152 2983 1108
109 359 3206
707 914 2600
91 2809 4914
1277 4381 2644
504 2110 1805
1144 120 2836
1214 1112 1436
1269 109 825
1026 579 4339
731 176 2642
472 1563 4817
642 1594 659
87 1563 3290
336 812 2968
279 5361 3285
194 5617 3060
489 622 2012
1023 408 1036
798 38 3273
679 2785 5173
953 1316 3033
190 4043 4331
695 5035 378
493 1283 1815
210 3846 4725
532 3437 4139
431 5584 3810
1121 3456 3638
1282 3273 2862
173 2286 1646
570 3437 3230
1398 4343 2164
1412 3230 3862
833 1565 2553
936 4432 1528
531 4146 956
762 1112 89
90 5584 5398
842 4560 3563
1163 1650 3669
600 4224 5434
683 3584 3223
613 1964 3862
605 3375 5443
869 3536 1791
114 3810 1436
1416 130 571
816 1050 4725
776 1283 4352
528 3257 3535
493 1981 739
314 1571 659
52 5460 4381
19 5173 3862
1092 2332 1820
219 1307 2233
938 2165 1743
674 113 2600
546 1556 2832
526 5505 5216
401 1255 5276
999 3846 1900
580 5331 3268
430 5432 5169
70 3063 2635
307 1115 1463
106 1900 1455
229 211 5169
765 4331 517
862 3835 1564
369 1564 3206
1072 5220 965
774 4422 3040
1399 4047 1318
673 301 1563
777 5244 3090
385 1237 2968
659 758 5307
973 400 4331
665 1810 4139
7 1564 5035
1187 3835 577
73 1286 870
907 4700 5333
830 217 4450
805 4046 176
923 3818 328
684 109 5035
632 211 5152
1315 741 1591
123 2491 710
592 3863 326
459 2170 3269
431 4700 1085
811 4771 4098
101 1283 3259
1360 4819 1036
376 3835 1985
128 4998 739
71 914 2600
811 3986 67
92 970 3872
44 5295 2099
257 1541 4312
177 1924 3716
861 1820 1646
1391 1170 65
584 3259 3872
667 1801 1543
918 2739 3638
305 120 1743
533 1098 3563
1092 3767 1584
743 5216 3090
139 3592 4312
108 845 2600
1201 5196 233
148 4343 5617
385 4219 3669
1234 3872 1564
875 2388 1112
1408 5196 2163
1060 4700 1564
235 4333 4711
374 900 2046
355 4218 1646
1428 4560 1108
136 3563 217
521 3269 3092
187 721 38
932 2790 4918
486 5584 3863
850 4224 3033
677 861 2467
236 2327 334
606 5396 3885
1270 2491 1113
65 1285 2028
1091 5162 1071
1250 1528 1954
266 1717 577
1299 1591 2707
656 4494 4487
450 1309 3092
1226 1115 4037
956 5505 5046
1222 4343 5429
809 4333 3269
269 825 4494
820 172 841
281 1924 4798
967 1180 2740
1277 1112 4139
703 1556 1873
922 5525 3347
867 1290 5443
637 2192 3651
477 3431 5276
11 1036 130
15 2286 4711
550 1981 5066
852 276 1565
95 4700 3846
441 970 3863
1000 10 5333
695 1549 211
6 2707 4450
73 3526 3767
835 1139 4487
